Set Name,Set Code,Pack Type,Expected Value,Confidence,Release Date
30th Anniversary Edition,30A,Draft Booster,143.12,58.8%,2022-11-28
Adventures in the Forgotten Realms,AFR,Arena Booster,2.64,4.7%,2021-07-23
Adventures in the Forgotten Realms,AFR,Collector Booster,20.13,23.4%,2021-07-23
Adventures in the Forgotten Realms,AFR,Draft Booster,4.89,8.5%,2021-07-23
Adventures in the Forgotten Realms,AFR,Prerelease Booster,5.41,77.9%,2021-07-23
Adventures in the Forgotten Realms,AFR,Set Booster,5.09,8.6%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — Black,2.18,3.9%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — Blue,2.8,3.2%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — Dungeons,0.41,0.4%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — Green,5.62,2.9%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — Red,6.58,5.1%,2021-07-23
Adventures in the Forgotten Realms,AFR,Theme Booster — White,3.76,3.6%,2021-07-23
Aether Revolt,AER,Draft Booster,2.3,2.4%,2017-01-20
Aether Revolt,AER,Prerelease Booster,4.61,70.8%,2017-01-20
Aetherdrift,DFT,Box Topper Booster,11.03,91.9%,2025-02-14
Aetherdrift,DFT,Collector Booster,11.7,12.2%,2025-02-14
Aetherdrift,DFT,Collector Booster — Sample,1.82,16.7%,2025-02-14
Aetherdrift,DFT,Play Booster,2.79,3.0%,2025-02-14
Aetherdrift,DFT,Prerelease Booster,2.78,51.4%,2025-02-14
Alara Reborn,ARB,Draft Booster,3.25,6.9%,2009-04-30
Alara Reborn,ARB,Six Booster,1.04,6.2%,2009-04-30
Alliances,ALL,Standard Booster,14.1,11.2%,1996-06-10
Amonkhet,AKH,Draft Booster,3.1,3.3%,2017-04-28
Amonkhet,AKH,Prerelease Booster,5.45,78.5%,2017-04-28
Antiquities,ATQ,Standard Booster,202.34,67.8%,1994-03-04
Apocalypse,APC,Bundle Booster,7.79,74.5%,2001-06-04
Apocalypse,APC,Draft Booster,6.44,4.9%,2001-06-04
Arabian Nights,ARN,Standard Booster,616.56,97.1%,1993-12-17
Assassin's Creed,ACR,Collector Booster,25.11,36.5%,2024-07-05
Assassin's Creed,ACR,Standard Booster,5.28,15.2%,2024-07-05
Avacyn Restored,AVR,Draft Booster,4.63,6.7%,2012-05-04
Avacyn Restored,AVR,Six Booster,1.39,5.5%,2012-05-04
Avatar: The Last Airbender,TLA,Collector Booster,28.05,23.6%,2025-11-21
Avatar: The Last Airbender,TLA,Play Booster,3.38,4.9%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster,11.85,100.0%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster — Aang,3.36,7.4%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster — Azula,2.21,5.5%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster — Katara,4.0,7.6%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster — Toph,5.42,8.2%,2025-11-21
Avatar: The Last Airbender,TLA,Prerelease Booster — Zuko,3.98,7.4%,2025-11-21
Avatar: The Last Airbender Eternal,TLE,Jumpstart Booster,3.09,3.0%,2025-11-21
Battle for Zendikar,BFZ,Draft Booster,1.87,1.6%,2015-10-02
Battle for Zendikar,BFZ,Prerelease Booster,6.11,70.2%,2015-10-02
Battlebond,BBD,Draft Booster,7.89,6.7%,2018-06-08
Battlebond,BBD,Prerelease Booster,8.43,100.0%,2018-06-08
Betrayers of Kamigawa,BOK,Bundle Booster,3.5,45.5%,2005-02-04
Betrayers of Kamigawa,BOK,Draft Booster,6.99,12.1%,2005-02-04
Bloomburrow,BLB,Collector Booster,42.3,27.4%,2024-08-02
Bloomburrow,BLB,Collector Booster — Sample,8.63,44.5%,2024-08-02
Bloomburrow,BLB,Play Booster,5.69,6.8%,2024-08-02
Bloomburrow,BLB,Prerelease Booster,4.67,62.9%,2024-08-02
Bloomburrow,BLB,Value Booster,1.08,3.2%,2024-08-02
Born of the Gods,BNG,Draft Booster,1.57,2.9%,2014-02-07
Born of the Gods,BNG,Prerelease Booster — Conquer,0.71,1.5%,2014-02-07
Born of the Gods,BNG,Prerelease Booster — Dominate,0.92,2.3%,2014-02-07
Born of the Gods,BNG,Prerelease Booster — Lead,1.26,2.3%,2014-02-07
Born of the Gods,BNG,Prerelease Booster — Outwit,0.52,1.7%,2014-02-07
Born of the Gods,BNG,Prerelease Booster — Thrive,0.7,2.4%,2014-02-07
Champions of Kamigawa,CHK,Bundle Booster,2.46,44.1%,2004-10-01
Champions of Kamigawa,CHK,Draft Booster,10.71,8.8%,2004-10-01
Champions of Kamigawa,CHK,Tournament Booster,30.55,5.1%,2004-10-01
Chronicles,CHR,Standard Booster,5.47,8.5%,1995-07-01
Classic Sixth Edition,6ED,Draft Booster,6.8,7.5%,1999-04-21
Classic Sixth Edition,6ED,Tournament Booster,21.49,4.7%,1999-04-21
Coldsnap,CSP,Draft Booster,12.23,19.1%,2006-07-21
Commander Legends,CMR,Collector Booster,47.69,33.9%,2020-11-20
Commander Legends,CMR,Draft Booster,8.01,5.6%,2020-11-20
Commander Legends: Battle for Baldur's Gate,CLB,Collector Booster,49.42,28.3%,2022-06-10
Commander Legends: Battle for Baldur's Gate,CLB,Collector Booster — Sample,11.98,34.6%,2022-06-10
Commander Legends: Battle for Baldur's Gate,CLB,Draft Booster,20.82,19.5%,2022-06-10
Commander Legends: Battle for Baldur's Gate,CLB,Prerelease Booster,8.5,78.4%,2022-06-10
Commander Legends: Battle for Baldur's Gate,CLB,Set Booster,12.36,12.7%,2022-06-10
Commander Masters,CMM,Collector Booster,98.7,53.0%,2023-08-04
Commander Masters,CMM,Collector Booster — Sample,23.14,84.9%,2023-08-04
Commander Masters,CMM,Draft Booster,24.38,19.3%,2023-08-04
Commander Masters,CMM,Set Booster,27.27,24.4%,2023-08-04
Conflux,CON,Draft Booster,3.4,6.9%,2009-02-06
Conflux,CON,Six Booster,1.08,6.1%,2009-02-06
Conspiracy,CNS,Draft Booster,7.67,9.3%,2014-06-06
Conspiracy: Take the Crown,CN2,Draft Booster,4.29,5.2%,2016-08-26
Core Set 2019,M19,Arena Booster,2.25,3.0%,2018-07-13
Core Set 2019,M19,Draft Booster,2.45,3.2%,2018-07-13
Core Set 2019,M19,Prerelease Booster,6.59,77.0%,2018-07-13
Core Set 2020,M20,Arena Booster,2.84,4.7%,2019-07-12
Core Set 2020,M20,Draft Booster,3.2,5.1%,2019-07-12
Core Set 2020,M20,Prerelease Booster,6.98,78.5%,2019-07-12
Core Set 2020,M20,Theme Booster — Black,5.45,5.3%,2019-07-12
Core Set 2020,M20,Theme Booster — Blue,3.23,2.7%,2019-07-12
Core Set 2020,M20,Theme Booster — Green,6.04,5.2%,2019-07-12
Core Set 2020,M20,Theme Booster — Red,3.24,2.5%,2019-07-12
Core Set 2020,M20,Theme Booster — White,3.38,2.5%,2019-07-12
Core Set 2021,M21,Arena Booster,2.47,2.9%,2020-07-03
Core Set 2021,M21,Collector Booster,23.78,25.1%,2020-07-03
Core Set 2021,M21,Draft Booster,4.23,6.3%,2020-07-03
Core Set 2021,M21,Prerelease Booster,4.15,58.7%,2020-07-03
Dark Ascension,DKA,Draft Booster,1.33,2.5%,2012-02-03
Dark Ascension,DKA,Six Booster,0.31,1.5%,2012-02-03
Darksteel,DST,Bundle Booster,2.43,33.2%,2004-02-06
Darksteel,DST,Draft Booster,9.95,10.4%,2004-02-06
Dissension,DIS,Draft Booster,5.81,9.7%,2006-05-05
Doctor Who,WHO,Collector Booster,36.4,45.7%,2023-10-13
Doctor Who,WHO,Collector Booster — Sample,4.33,45.2%,2023-10-13
Dominaria,DOM,Arena Booster,2.34,4.1%,2018-04-27
Dominaria,DOM,Draft Booster,2.55,4.1%,2018-04-27
Dominaria,DOM,Prerelease Booster,6.93,80.2%,2018-04-27
Dominaria,DOM,Theme Booster — Black,9.28,4.5%,2018-04-27
Dominaria,DOM,Theme Booster — Blue,3.27,4.4%,2018-04-27
Dominaria,DOM,Theme Booster — Green,2.53,1.8%,2018-04-27
Dominaria,DOM,Theme Booster — Red,3.17,3.7%,2018-04-27
Dominaria,DOM,Theme Booster — White,2.25,1.4%,2018-04-27
Dominaria Remastered,DMR,Collector Booster,40.09,25.0%,2023-01-13
Dominaria Remastered,DMR,Draft Booster,7.25,7.3%,2023-01-13
Dominaria United,DMU,Arena Booster,1.8,2.5%,2022-09-09
Dominaria United,DMU,Box Topper Booster,0.35,11.1%,2022-09-09
Dominaria United,DMU,Collector Booster,18.5,20.1%,2022-09-09
Dominaria United,DMU,Collector Booster — Sample,3.42,24.5%,2022-09-09
Dominaria United,DMU,Draft Booster,2.32,4.1%,2022-09-09
Dominaria United,DMU,Jumpstart Booster,3.73,6.1%,2022-09-09
Dominaria United,DMU,Prerelease Booster,3.34,68.6%,2022-09-09
Dominaria United,DMU,Set Booster,4.08,7.6%,2022-09-09
Double Masters,2XM,Box Topper Booster,81.78,100.0%,2020-08-07
Double Masters,2XM,Draft Booster,21.54,19.5%,2020-08-07
Double Masters,2XM,VIP Booster,129.89,33.4%,2020-08-07
Double Masters 2022,2X2,Collector Booster,85.73,41.5%,2022-07-08
Double Masters 2022,2X2,Draft Booster,22.31,15.3%,2022-07-08
Dragon's Maze,DGM,Draft Booster,0.98,1.8%,2013-05-03
Dragon's Maze,DGM,Six Booster,0.13,1.2%,2013-05-03
Dragons of Tarkir,DTK,Bundle Booster,0.68,16.8%,2015-03-27
Dragons of Tarkir,DTK,Draft Booster,1.43,2.3%,2015-03-27
Dragons of Tarkir,DTK,Prerelease Booster — Atarka,3.23,7.5%,2015-03-27
Dragons of Tarkir,DTK,Prerelease Booster — Dromoka,2.36,3.8%,2015-03-27
Dragons of Tarkir,DTK,Prerelease Booster — Kolaghan,3.9,7.4%,2015-03-27
Dragons of Tarkir,DTK,Prerelease Booster — Ojutai,0.79,2.1%,2015-03-27
Dragons of Tarkir,DTK,Prerelease Booster — Silumgar,4.12,3.8%,2015-03-27
Duskmourn: House of Horror,DSK,Collector Booster,24.66,18.9%,2024-09-27
Duskmourn: House of Horror,DSK,Collector Booster — Sample,3.61,29.1%,2024-09-27
Duskmourn: House of Horror,DSK,Nightmare Booster,23.37,100.0%,2024-09-27
Duskmourn: House of Horror,DSK,Play Booster,4.96,5.9%,2024-09-27
Duskmourn: House of Horror,DSK,Prerelease Booster,4.45,67.1%,2024-09-27
Edge of Eternities,EOE,Collector Booster,30.81,24.9%,2025-08-01
Edge of Eternities,EOE,Collector Booster — Sample,5.69,36.3%,2025-08-01
Edge of Eternities,EOE,Play Booster,4.43,5.4%,2025-08-01
Edge of Eternities,EOE,Prerelease Booster,4.55,67.1%,2025-08-01
Eighth Edition,8ED,Draft Booster,3.13,3.9%,2003-07-28
Eldritch Moon,EMN,Draft Booster,1.66,2.4%,2016-07-22
Eldritch Moon,EMN,Prerelease Booster,5.51,77.8%,2016-07-22
Eternal Masters,EMA,Draft Booster,17.23,14.1%,2016-06-10
Eventide,EVE,Draft Booster,9.83,9.7%,2008-07-25
Exodus,EXO,Draft Booster,36.04,11.6%,1998-06-15
Fallen Empires,FEM,Standard Booster,1.19,7.2%,1994-11-01
Fallout,PIP,Collector Booster,72.44,60.5%,2024-03-08
Fallout,PIP,Collector Booster — Sample,6.47,62.8%,2024-03-08
Fate Reforged,FRF,Draft Booster,1.53,2.8%,2015-01-23
Fate Reforged,FRF,Prerelease Booster — Abzan,0.82,2.8%,2015-01-23
Fate Reforged,FRF,Prerelease Booster — Jeskai,2.0,3.8%,2015-01-23
Fate Reforged,FRF,Prerelease Booster — Mardu,2.26,4.8%,2015-01-23
Fate Reforged,FRF,Prerelease Booster — Sultai,3.34,6.6%,2015-01-23
Fate Reforged,FRF,Prerelease Booster — Temur,4.16,6.6%,2015-01-23
Fifth Dawn,5DN,Bundle Booster,3.52,31.4%,2004-06-04
Fifth Dawn,5DN,Draft Booster,13.31,12.5%,2004-06-04
Fifth Edition,5ED,Draft Booster,6.33,8.1%,1997-03-24
Fifth Edition,5ED,Starter Booster,19.37,7.3%,1997-03-24
Final Fantasy,FIN,Bundle Booster — Promo,6.72,75.2%,2025-06-13
Final Fantasy,FIN,Chocobo Bundle Booster,251.59,100.0%,2025-06-13
Final Fantasy,FIN,Chocobo Bundle Scene Booster,11.3,100.0%,2025-06-13
Final Fantasy,FIN,Collector Booster,65.78,35.3%,2025-06-13
Final Fantasy,FIN,Collector Booster — Sample,15.96,67.6%,2025-06-13
Final Fantasy,FIN,Play Booster,5.86,6.2%,2025-06-13
Final Fantasy,FIN,Prerelease Booster,13.69,100.0%,2025-06-13
Foundations,FDN,Beginner Booster,0.86,1.5%,2024-11-15
Foundations,FDN,Collector Booster,44.15,26.0%,2024-11-15
Foundations,FDN,Play Booster,4.93,6.7%,2024-11-15
Foundations,FDN,Prerelease Booster,4.81,75.7%,2024-11-15
Foundations Jumpstart,J25,Jumpstart Booster,3.37,3.1%,2024-11-15
Fourth Edition,4ED,Standard Booster,5.88,7.6%,1995-04-01
Fourth Edition,4ED,Starter Booster,16.95,5.2%,1995-04-01
Future Sight,FUT,Draft Booster,10.96,11.7%,2007-05-04
Gatecrash,GTC,Draft Booster,2.38,3.2%,2013-02-01
Gatecrash,GTC,Prerelease Booster — Boros,2.67,3.7%,2013-02-01
Gatecrash,GTC,Prerelease Booster — Dimir,1.71,3.0%,2013-02-01
Gatecrash,GTC,Prerelease Booster — Gruul,1.38,3.0%,2013-02-01
Gatecrash,GTC,Prerelease Booster — Orzhov,2.35,2.8%,2013-02-01
Gatecrash,GTC,Prerelease Booster — Simic,1.8,3.9%,2013-02-01
Gatecrash,GTC,Six Booster,0.74,2.6%,2013-02-01
Guildpact,GPT,Draft Booster,2.91,4.2%,2006-02-03
Guilds of Ravnica,GRN,Arena Booster,1.44,1.8%,2018-10-05
Guilds of Ravnica,GRN,Draft Booster,1.59,2.0%,2018-10-05
Guilds of Ravnica,GRN,Prerelease Booster — Boros,2.42,6.2%,2018-10-05
Guilds of Ravnica,GRN,Prerelease Booster — Dimir,1.29,3.5%,2018-10-05
Guilds of Ravnica,GRN,Prerelease Booster — Golgari,2.69,2.5%,2018-10-05
Guilds of Ravnica,GRN,Prerelease Booster — Izzet,3.5,7.0%,2018-10-05
Guilds of Ravnica,GRN,Prerelease Booster — Selesnya,1.4,2.5%,2018-10-05
Guilds of Ravnica,GRN,Theme Booster — Boros,1.95,2.1%,2018-10-05
Guilds of Ravnica,GRN,Theme Booster — Dimir,1.13,0.4%,2018-10-05
Guilds of Ravnica,GRN,Theme Booster — Golgari,1.52,0.6%,2018-10-05
Guilds of Ravnica,GRN,Theme Booster — Izzet,2.63,2.5%,2018-10-05
Guilds of Ravnica,GRN,Theme Booster — Selesnya,1.13,0.6%,2018-10-05
Homelands,HML,Standard Booster,1.57,4.8%,1995-10-01
Hour of Devastation,HOU,Draft Booster,2.73,2.2%,2017-07-14
Hour of Devastation,HOU,Prerelease Booster,5.11,60.4%,2017-07-14
Ice Age,ICE,Standard Booster,9.52,12.3%,1995-06-03
Ice Age,ICE,Starter Booster,45.05,22.8%,1995-06-03
Iconic Masters,IMA,Draft Booster,8.08,8.0%,2017-11-17
Ikoria: Lair of Behemoths,IKO,Arena Booster,3.72,3.1%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Box Topper Booster,18.95,93.3%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Box Topper Booster — JP,15.79,77.8%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Collector Booster,52.07,26.4%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Collector Booster — JP,48.92,24.9%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Draft Booster,6.68,7.7%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Jp Booster,7.67,7.8%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Prerelease Booster,6.32,63.6%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — Black,4.79,0.2%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — Blue,8.33,7.8%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — Green,5.44,1.3%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — Monsters,2.97,2.1%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — Red,4.23,0.2%,2020-04-24
Ikoria: Lair of Behemoths,IKO,Theme Booster — White,8.4,1.3%,2020-04-24
Innistrad,ISD,Draft Booster,2.44,3.4%,2011-09-30
Innistrad,ISD,Six Booster,0.62,2.4%,2011-09-30
